sensor1,sensor2,speedSet,load_value,gear_fault_desc,gear_fault,year,month,day,hour,minute,second
2.522150849311644,2.435916488690641,40.0,0,Root crack,1,2023,5,3,15,1,5
2.522315105475361,2.425896893333479,40.0,0,Root crack,1,2023,5,3,15,1,3
2.51738742096189,2.429674773160919,8.33203125,80,missing tooth,4,2023,5,3,13,7,26
2.519851263115703,2.438544579825234,40.0,0,No fault,0,2023,5,3,22,10,1
2.5191942385212323,2.423761570160896,25.0,0,No fault,0,2023,5,2,11,29,26
2.5251074603986736,2.430496051446584,8.33203125,80,No fault,0,2023,5,3,21,49,8
2.519851263115703,2.431317329754514,25.0,0,Root crack,1,2023,5,3,14,59,10
2.5081890787371983,2.4326313750935267,40.0,0,missing tooth,4,2023,5,3,12,28,21
2.534141551671827,2.4125921898574414,40.0,80,Root crack,1,2023,5,3,15,3,39
2.525435972759998,2.424418592659534,40.0,0,chipped tooth,2,2023,5,2,15,55,1
2.5208368000348567,2.430988818428669,8.33203125,0,surface defect,5,2023,5,2,14,35,14
2.5218223369869546,2.4306603071063884,8.33203125,80,Root crack,1,2023,5,3,14,41,52
2.5106529201238548,2.4234330589169093,40.0,80,eccentricity,3,2023,5,3,20,29,39
2.5272427908128137,2.394195572396993,25.0,80,surface defect,5,2023,5,2,14,30,28
2.511802712841204,2.397973448293405,40.0,80,missing tooth,4,2023,5,3,12,26,52
2.5122954811623286,2.434438187527803,40.0,0,Root crack,1,2023,5,3,15,1,5
2.5211653123485616,2.428032216656363,8.33203125,80,chipped tooth,2,2023,5,2,16,4,32
2.525435972759998,2.421626247138516,40.0,80,Root crack,1,2023,5,3,15,3,38
2.5219865931488417,2.4254041264341613,8.33203125,80,surface defect,5,2023,5,2,14,31,49
2.526914278431324,2.4342739318475024,40.0,80,No fault,0,2023,5,3,22,6,2
2.522150849311644,2.4324671194230314,8.33203125,80,missing tooth,4,2023,5,3,13,7,27
2.52445043568702,2.427867961010803,40.0,80,No fault,0,2023,5,3,22,6,3
2.5287210965749054,2.437394789925737,40.0,80,chipped tooth,2,2023,5,2,16,40,19
2.507367798320572,2.44314373986084,25.0,80,chipped tooth,2,2023,5,2,16,31,59
2.5052324693439725,2.4395301140596204,25.0,0,surface defect,5,2023,5,2,14,29,42
2.5170589086902595,2.435916488690641,40.0,0,No fault,0,2023,5,3,22,10,4
2.518865726229485,2.428689239247504,8.33203125,0,chipped tooth,2,2023,5,2,15,53,11
2.4843719558861506,2.4697531795710543,40.0,80,surface defect,5,2023,5,7,17,10,14
2.52412192333669,2.4308245627670835,25.0,80,chipped tooth,2,2023,5,2,16,31,59
2.523136386307683,2.4265539158783533,40.0,0,Root crack,1,2023,5,3,15,1,5
2.5305279148294764,2.437723301321131,40.0,80,chipped tooth,2,2023,5,2,16,40,19
2.522643617805543,2.4306603071063884,8.33203125,0,No fault,0,2023,5,3,21,47,33
2.520672543879377,2.4277037053661323,8.33203125,0,surface defect,5,2023,5,2,14,35,18
2.507860566567813,2.4700816913198325,40.0,80,surface defect,5,2023,5,7,17,10,12
2.5113099445282936,2.409307078783567,40.0,80,chipped tooth,2,2023,5,2,16,40,20
2.520672543879377,2.428032216656363,25.0,0,eccentricity,3,2023,5,3,20,20,1
2.522643617805543,2.4295105175064573,8.33203125,80,No fault,0,2023,5,3,21,49,11
2.535291345305805,2.4350952102579235,40.0,0,surface defect,5,2023,5,7,17,11,47
2.532334733195097,2.417027090369242,40.0,80,Root crack,1,2023,5,3,15,3,40
2.5218223369869546,2.431645841083921,8.33203125,0,eccentricity,3,2023,5,3,20,31,43
2.522150849311644,2.426718171516796,8.33203125,80,chipped tooth,2,2023,5,2,16,4,30
2.512623993380976,2.4513565273827225,40.0,80,chipped tooth,2,2023,5,2,16,40,19
2.5211653123485616,2.429839028816271,8.33203125,0,Root crack,1,2023,5,3,14,41,35
2.521329568506787,2.4293462618528863,25.0,0,eccentricity,3,2023,5,3,20,20,1
2.5193584946684777,2.4311530740911462,8.33203125,80,chipped tooth,2,2023,5,2,16,4,32
2.521329568506787,2.431810096749961,40.0,80,eccentricity,3,2023,5,3,20,29,36
2.528228327979288,2.4387088355287325,40.0,80,No fault,0,2023,5,3,22,6,2
2.5160733718973054,2.430496051446584,25.0,0,surface defect,5,2023,5,2,14,29,41
2.5127882494916687,2.4291820062002056,25.0,0,Root crack,1,2023,5,3,14,59,10
2.5272427908128137,2.435916488690641,40.0,80,No fault,0,2023,5,3,22,6,4
2.5017830920915363,2.431974352416892,40.0,80,No fault,0,2023,5,3,22,6,5
2.515252091261641,2.43328839778442,40.0,80,Root crack,1,2023,5,3,15,3,41
2.518372957798724,2.431974352416892,8.33203125,80,surface defect,5,2023,5,2,14,31,46
2.5196870069657136,2.430496051446584,8.33203125,80,No fault,0,2023,5,3,21,49,8
2.5193584946684777,2.43033179578767,8.33203125,0,missing tooth,4,2023,5,3,13,6,41
2.5219865931488417,2.431317329754514,8.33203125,80,Root crack,1,2023,5,3,14,41,55
2.5247789480410145,2.425568382066378,25.0,80,chipped tooth,2,2023,5,2,16,32,0
2.5185372139413964,2.4234330589169093,25.0,0,No fault,0,2023,5,2,11,29,28
2.518372957798724,2.4265539158783533,8.33203125,0,chipped tooth,2,2023,5,2,15,53,9
2.520672543879377,2.430988818428669,8.33203125,0,No fault,0,2023,5,3,21,47,31
2.520179775418428,2.4300032844725137,8.33203125,0,missing tooth,4,2023,5,3,13,6,38
2.5185372139413964,2.43033179578767,8.33203125,0,surface defect,5,2023,5,2,14,35,17
2.5382479577142867,2.421954758362956,40.0,80,chipped tooth,2,2023,5,2,16,40,22
2.523136386307683,2.43328839778442,40.0,0,No fault,0,2023,5,3,22,10,1
2.520672543879377,2.431317329754514,8.33203125,0,eccentricity,3,2023,5,3,20,31,40
2.542518620608322,2.4055292014861496,40.0,0,surface defect,5,2023,5,7,17,11,45
2.546789284124966,2.4362450000699725,25.0,80,Root crack,1,2023,5,3,14,55,51
2.530856427251328,2.422776036439601,25.0,80,eccentricity,3,2023,5,3,20,22,7
2.510981432324249,2.4232688032962497,40.0,0,chipped tooth,2,2023,5,2,15,55,4
2.5099958957340136,2.4321386080847143,25.0,0,surface defect,5,2023,5,2,14,29,43
2.518044445516121,2.434930954574056,40.0,80,missing tooth,4,2023,5,3,12,26,51
2.506382261850699,2.426882427156128,40.0,0,eccentricity,3,2023,5,3,20,28,7
2.520672543879377,2.4314815854187715,8.33203125,80,chipped tooth,2,2023,5,2,16,4,33
2.5262572536793466,2.4324671194230314,25.0,80,No fault,0,2023,5,2,10,30,4
2.5167303964222856,2.428196472302813,25.0,0,No fault,0,2023,5,2,11,29,27
2.5134452739435704,2.432795630764913,25.0,0,eccentricity,3,2023,5,3,20,20,0
2.5377551889588497,2.4293462618528863,25.0,80,surface defect,5,2023,5,2,14,30,27
2.5193584946684777,2.430988818428669,8.33203125,0,missing tooth,4,2023,5,3,13,6,37
2.521001056191252,2.43033179578767,8.33203125,0,Root crack,1,2023,5,3,14,41,32
2.519851263115703,2.433616909135215,40.0,0,Root crack,1,2023,5,3,15,1,3
2.522315105475361,2.4232688032962497,25.0,80,missing tooth,4,2023,5,3,12,35,19
2.5114742006316844,2.421297735917629,25.0,0,chipped tooth,2,2023,5,2,15,54,36
2.5182087016569654,2.427867961010803,8.33203125,0,chipped tooth,2,2023,5,2,15,53,9
2.5101601518301058,2.429839028816271,40.0,0,Root crack,1,2023,5,3,15,1,7
2.5154163473869464,2.425239870802834,8.33203125,80,surface defect,5,2023,5,2,14,31,47
2.5247789480410145,2.4520135504811966,40.0,80,No fault,0,2023,5,3,22,6,6
2.5185372139413964,2.431974352416892,8.33203125,80,missing tooth,4,2023,5,3,13,7,27
2.5461322589280035,2.415220278971617,40.0,80,chipped tooth,2,2023,5,2,16,40,19
2.5191942385212323,2.4418296940649005,25.0,80,Root crack,1,2023,5,3,14,55,53
2.53102068346363,2.4254041264341613,40.0,80,missing tooth,4,2023,5,3,12,26,52
2.5003047876776465,2.424254337033541,40.0,80,No fault,0,2023,5,3,22,6,2
2.486835795296165,2.4222832695909484,25.0,80,surface defect,5,2023,5,2,14,30,27
2.533320270532263,2.4324671194230314,25.0,80,missing tooth,4,2023,5,3,12,35,22
2.523957667162899,2.428524983598383,25.0,0,eccentricity,3,2023,5,3,20,20,1
2.522150849311644,2.429839028816271,8.33203125,0,No fault,0,2023,5,3,21,47,34
